物理;ぶつり;physics。 natural law
包丁;ほうちょう;kitchen knife or carving knife
包み;つつみ;package or parcel
包み紙;つつみがみ;wrapping paper
抱える;かかえる;hold in one's arms
抱く;いだく;embrace or hug
悩み;なやみ;troubles or worries
少量;しょうりょう;small quantity
句;く;phrase or clause
慣用句;かんようく;idiom or common phrase
文句;もんく;complaint
下旬;げじゅん;end of the month
上旬;じょうじゅん;beginning of the month
中旬;ちゅうじゅん;middle ten days of a month
飽きる;あきる;be fed up
額;がく;picture frame
飾り;かざり;ornament or decoration
餌;えさ;bait or feed
平凡;へいぼん;common or ordinary
通帳;つうちょう;bankbook or passbook
旧;きゅう;old or former
育児;いくじ;childcare or child-raising
小児科;しょうにか;pediatrics
妊娠;にんしん;pregnancy or conception
姓名;せいめい;full name
姓;せい;surname or family name
同姓;どうせい;same surname
嫁;よめ;bride or daughter-in-law
花嫁;はなよめ;bride
花婿;はなむこ;bridegroom
品切れ;しなぎれ;run out or sell out
親類;しんるい;relatives or kin
幼い;おさない;young or childish
幼児;ようじ;young child or infant
がさがさ;がさがさ;rustle
着ける;つける;pull up or park (a vehicle)
眼科;がんか;ophthalmology
近眼;きんがん;nearsightedness or shortsightedness
レンズ;レンズ;lens
快い;こころよい;pleasant or agreeable
すっきり;すっきり;refreshed
すやすや;すやすや;peaceful and content
居眠り;いねむり;doze or nap
単に;たんに;merely or simply
催す;もよおす;feel or experience
膨れる;ふくれる;expand or fill up
乗り越す;のりこす;ride past
眠たい;ねむたい;sleepy
眠り;ねむり;sleep or slumber
まぶた;まぶた;eyelid
眺め;ながめ;view or prospect
一瞬;いっしゅん;instant or moment
睡眠;すいみん;sleep or slumber
垂直;すいちょく;vertical or perpendicular
同封;どうふう;enclosure
封;ふう;seal or sealing
圧力;あつりょく;pressure
回転;かいてん;revolution or rotation
カバー;カバー;cover or covering
心掛ける;こころがける;bear in mind or try
腰掛ける;こしかける;sit down
男らしい;おとこらしい;manly or masculine
寒暖計;かんだんけい;thermometer
腰掛け;こしかけ;stool or seat
じゃんじゃん;じゃんじゃん;many times or repeatedly
呼び掛ける;よびかける;call to or appeal to
引っ掛かる;ひっかかる;be caught or be trapped
話し掛ける;はなしかける;address someone or speak to someone
通り掛かる;とおりかかる;happen to pass by
引っ掛ける;ひっかける;hook on
寄り掛かる;よりかかる;lean against something
措置;そち;measure or step
拝む;おがむ;bow in veneration or worship
拝見;はいけん;humbly look at or see
